Distance,Throttle,Speed,GapRatio,Efficiency
56,68,73.16,1.21,1.08
97,51,0.0,0.53,0.0
19,69,65.54,3.63,0.95
76,89,103.67,1.17,1.16
65,24,36.34,0.37,1.51
25,71,73.58,2.84,1.04
87,71,102.6,0.82,1.45
91,56,0.0,0.62,0.0
79,71,95.59,0.9,1.35
79,60,65.08,0.76,1.08
92,64,100.98,0.7,1.58
28,73,76.84,2.61,1.05
7,12,21.38,1.71,1.78
26,60,65.48,2.31,1.09
57,16,22.29,0.28,1.39
6,30,26.43,5.0,0.88
92,82,104.8,0.89,1.28
34,48,66.05,1.41,1.38
42,27,44.29,0.64,1.64
6,13,21.59,2.17,1.66
68,98,103.67,1.44,1.06
64,69,74.35,1.08,1.08
25,23,34.6,0.92,1.5
37,18,22.79,0.49,1.27
80,99,104.44,1.24,1.05
62,62,67.77,1.0,1.09
26,11,25.12,0.42,2.28
93,93,106.32,1.0,1.14
53,69,74.35,1.3,1.08
95,80,104.44,0.84,1.31
